,REP_DATE,CAD_date_time,X_COORDINATE,Y_COORDINATE,search_success,isMale,race_known,BLACK,HISPANIC OR LATINO,WHITE,CALL FOR SERVICE,CONSENSUAL CONTACT,MOTOR VEHICLE DRIVER,OTHER,PRE-EXISTING KNOWLEDGE,SUSPICIOUS PERSON / VEHICLE,VIOLATION OF CITY ORDIANCE,VIOLATION OF PENAL CODE,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,ADAM PD,BAKER,CHARLIE,DAVID,EDWARD,FRANK,GEORGE,HENR,IDA,OOC,TRAVIS PD
5329,-0.031236580914026126,-0.025107130009356958,0.6335777303658092,1.2671812218766947,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5336,-0.031236580914026126,-0.025107130009356958,0.0020675466868689428,1.0795735361526417,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5366,-0.031236580914026126,-0.025107130009356958,0.5015703719766538,0.17345601656515935,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5388,1.524345148604475,1.537811713073114,0.4189580802508806,1.3072047884324431,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5430,-1.5868183104325273,-1.5880259730918278,-1.300870926869908,-1.101243380124704,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5575,-1.5868183104325273,-1.5880259730918278,-0.2507471259061403,-0.43010292870322847,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5629,-0.031236580914026126,-0.025107130009356958,0.5688663639618432,1.081309819907563,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5651,-0.031236580914026126,-0.025107130009356958,-0.1516698119592396,-0.9196013873021753,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5686,-1.5868183104325273,-1.5880259730918278,0.35903305751584697,0.41239537330008874,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5741,-0.031236580914026126,-0.025107130009356958,1.1354737274900604,1.0267281818682443,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5751,-0.031236580914026126,-0.025107130009356958,1.0383109510107327,0.5412810520307801,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5892,-0.031236580914026126,-0.025107130009356958,-0.7373268232898076,-1.3208610150740996,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5926,1.524345148604475,1.537811713073114,-4.949979340063966,-1.4103909286932432,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5997,-0.031236580914026126,-0.025107130009356958,0.5688663639618432,1.081309819907563,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6088,-0.031236580914026126,-0.025107130009356958,1.37833280525169,0.31649908591290077,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6130,-0.031236580914026126,-0.025107130009356958,-0.029713775274842164,-0.5559167207905976,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6170,1.524345148604475,1.537811713073114,1.4330885768242767,0.323889421895386,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6172,1.524345148604475,1.537811713073114,-0.08485245434094336,-0.37748017490023117,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6192,-1.5868183104325273,-1.5880259730918278,-0.2507471259061403,-0.43010292870322847,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6217,-0.031236580914026126,-0.025107130009356958,0.3888041151366065,-0.09900697266863376,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6241,-0.031236580914026126,-0.025107130009356958,-1.6662604025562069,-1.5899404769906105,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6322,-1.5868183104325273,-1.5880259730918278,-0.09327641919826438,-0.25767659581066626,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6488,-0.031236580914026126,-0.025107130009356958,1.0892376476481733,0.26912970347094717,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6530,-0.031236580914026126,-0.025107130009356958,0.3045644665633963,0.6244000717855991,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6609,-0.031236580914026126,-0.025107130009356958,0.7450995378519341,-0.2800702042395221,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6611,-0.031236580914026126,-0.025107130009356958,0.39885543684136454,0.9721910639252056,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6691,-1.5868183104325273,-1.5880259730918278,0.11540816476718807,-0.46211287792857114,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6757,-0.031236580914026126,-0.025107130009356958,0.33021926862887396,0.7106354982800202,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6772,-0.031236580914026126,-0.025107130009356958,0.10353803246823574,-0.49639335206419544,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
